	meaning	txt_lug	langvar_uid_lug	txt_eng	langvar_uid_eng
195	30766564	okunyiiza	lug-000	annoy	eng-000
196	30766564	okunyiiza	lug-000	bother	eng-000
197	30766564	okunyiiza	lug-000	bug	eng-000
198	30766564	okunyiiza	lug-000	chafe	eng-000
199	30766564	okunyiiza	lug-000	devil	eng-000
200	30766564	okunyiiza	lug-000	get at	eng-000
201	30766564	okunyiiza	lug-000	get to	eng-000
202	30766564	okunyiiza	lug-000	gravel	eng-000
203	30766564	okunyiiza	lug-000	irritate	eng-000
204	30766564	okunyiiza	lug-000	nark	eng-000
205	30766564	okunyiiza	lug-000	nettle	eng-000
206	30766564	okunyiiza	lug-000	rag	eng-000
207	30766564	okunyiiza	lug-000	vex	eng-000
208	30780149	okunyiiza	lug-000	upset	eng-000
210	32690439	okunyiiza	lug-000	anger	eng-000
214	30766564	okuteganya	lug-000	rile	eng-000
215	30766564	okuteganya	lug-000	annoy	eng-000
216	30766564	okuteganya	lug-000	bother	eng-000
217	30766564	okuteganya	lug-000	bug	eng-000
218	30766564	okuteganya	lug-000	chafe	eng-000
219	30766564	okuteganya	lug-000	devil	eng-000
220	30766564	okuteganya	lug-000	get at	eng-000
221	30766564	okuteganya	lug-000	get to	eng-000
222	30766564	okuteganya	lug-000	gravel	eng-000
223	30766564	okuteganya	lug-000	irritate	eng-000
224	30766564	okuteganya	lug-000	nark	eng-000
225	30766564	okuteganya	lug-000	nettle	eng-000
226	30766564	okuteganya	lug-000	rag	eng-000
227	30766564	okuteganya	lug-000	vex	eng-000
229	30766564	okubuguutanya	lug-000	rile	eng-000
230	30766564	okubuguutanya	lug-000	annoy	eng-000
231	30766564	okubuguutanya	lug-000	bother	eng-000
232	30766564	okubuguutanya	lug-000	bug	eng-000
233	30766564	okubuguutanya	lug-000	chafe	eng-000
234	30766564	okubuguutanya	lug-000	devil	eng-000
235	30766564	okubuguutanya	lug-000	get at	eng-000
236	30766564	okubuguutanya	lug-000	get to	eng-000
237	30766564	okubuguutanya	lug-000	gravel	eng-000
238	30766564	okubuguutanya	lug-000	irritate	eng-000
239	30766564	okubuguutanya	lug-000	nark	eng-000
240	30766564	okubuguutanya	lug-000	nettle	eng-000
241	30766564	okubuguutanya	lug-000	rag	eng-000
242	30766564	okubuguutanya	lug-000	vex	eng-000
244	30766565	ekigalanga	lug-000	bug	eng-000
246	30766569	ekizimbe	lug-000	building	eng-000
247	30776016	ekizimbe	lug-000	build	eng-000
250	30766569	okuzimba	lug-000	building	eng-000
257	32692852	okuzimba	lug-000	swell	eng-000
258	30766591	okusubula	lug-000	business	eng-000
260	30766601	ekiwojjolo	lug-000	lepidopteran	eng-000
262	32690707	ekiwojjolo	lug-000	butterfly	eng-000
263	30766638	emmotoka	lug-000	automobile	eng-000
264	30766638	emmotoka	lug-000	car	eng-000
271	30774007	omupiira	lug-000	ball	eng-000
276	32691336	omupiira	lug-000	football	eng-000
277	32692684	omupiira	lug-000	soccer	eng-000
284	30770462	okukoowa	lug-000	toad	eng-000
285	30775270	okukoowa	lug-000	aweary	eng-000
286	30775270	okukoowa	lug-000	tired	eng-000
287	30775270	okukoowa	lug-000	weary	eng-000
290	30766743	omulenzi	lug-000	boy	eng-000
292	30766747	omudumu	lug-000	chimney	eng-000
294	30766771	ekanisa	lug-000	church	eng-000
295	30766771	ekanisa	lug-000	church-building	eng-000
297	30766771	ekeleziya	lug-000	church	eng-000
298	30766771	ekeleziya	lug-000	church-building	eng-000
300	30766775	ekyaalo	lug-000	village	eng-000
302	30766790	ebbumba	lug-000	clay	eng-000
306	30766801	embeera y’obudde	lug-000	climate	eng-000
308	30766817	engoye	lug-000	clothes	eng-000
309	30766817	engoye	lug-000	clothing	eng-000
310	30766817	engoye	lug-000	thing	eng-000
311	30766817	engoye	lug-000	things	eng-000
313	30766822	ekire	lug-000	cloud	eng-000
317	30767010	omuguzi	lug-000	buyer	eng-000
318	30774119	omuguzi	lug-000	client	eng-000
320	30774119	omuguzi	lug-000	patron	eng-000
324	30767022	akalipagano kʼebidduka	lug-000	snarl-up	eng-000
327	30767022	akalipagano kʼebidduka	lug-000	traffic jam	eng-000
329	30767096	obugunjufu	lug-000	civilisation	eng-000
330	30767096	obugunjufu	lug-000	civilization	eng-000
332	30767110	omuyaga ogwamanyi	lug-000	tornado	eng-000
334	30767391	okusimuula	lug-000	wipe	eng-000
336	30767391	okwesimuula	lug-000	wipe	eng-000
338	30767417	obusenge	lug-000	apartment	eng-000
341	30767421	ekisaakaate	lug-000	wall	eng-000
343	30767421	ekisenge	lug-000	wall	eng-000
346	32692479	ekisenge	lug-000	room	eng-000
348	30767421	ekikomera	lug-000	wall	eng-000
350	30767501	ekinege	lug-000	ball	eng-000
351	30767501	ekinege	lug-000	ballock	eng-000
352	30767501	ekinege	lug-000	bollock	eng-000
353	30767501	ekinege	lug-000	nut	eng-000
354	30767501	ekinege	lug-000	orchis	eng-000
359	30767747	ekitambaala	lug-000	cloth	eng-000
361	30767788	olutobazzi	lug-000	swamp	eng-000
367	30767961	ekisaaganda	lug-000	bunch	eng-000
369	30767962	olubaawo	lug-000	timber	eng-000
372	32693206	olubaawo	lug-000	wood	eng-000
373	30768013	ekinuuna	lug-000	sponge	eng-000
375	30768013	ekyangwe	lug-000	sponge	eng-000
379	30768039	ekyomunsiko	lug-000	wild	eng-000
381	30768111	omukira	lug-000	tail	eng-000
387	30768116	esweeta	lug-000	jersey	eng-000
388	30768116	esweeta	lug-000	pullover	eng-000
389	30768116	esweeta	lug-000	sweater	eng-000
391	30768154	ebirime	lug-000	vegetable	eng-000
393	30768163	obukazi	lug-000	vagina	eng-000
394	32692317	obukazi	lug-000	private parts	eng-000
396	30768200	okutambula	lug-000	walk	eng-000
397	30770527	okutambula	lug-000	travel	eng-000
399	32691323	okutambula	lug-000	flow	eng-000
400	32691884	okutambula	lug-000	march	eng-000
403	30768206	obugagga	lug-000	wealth	eng-000
404	30768206	obugagga	lug-000	well-being	eng-000
405	32692457	obugagga	lug-000	riches	eng-000
410	32691714	olugendo	lug-000	journey	eng-000
411	32692870	olugendo	lug-000	tale	eng-000
412	32693017	olugendo	lug-000	trip	eng-000
416	30768438	omutuuze	lug-000	citizen	eng-000
418	30768470	enkizo	lug-000	advantage	eng-000
420	32692317	enkizo	lug-000	private parts	eng-000
423	30768557	ekkatala	lug-000	task	eng-000
425	30768648	evinnyo	lug-000	wine	eng-000
427	30768667	omusolo	lug-000	tax	eng-000
429	30768693	ekitukuvu	lug-000	bright	eng-000
430	30768693	ekitukuvu	lug-000	pale	eng-000
432	30768697	omusubaawa	lug-000	candle	eng-000
437	30768737	ebisasiro	lug-000	refuse	eng-000
438	30768737	ebisasiro	lug-000	rubbish	eng-000
444	30769074	edoboozi	lug-000	sound	eng-000
445	30778199	edoboozi	lug-000	aloud	eng-000
448	30769439	obusagwa	lug-000	venom	eng-000
450	30769520	enyongeza	lug-000	bonus	eng-000
452	30769542	okunyiga	lug-000	squeeze	eng-000
454	32690846	okunyiga	lug-000	click	eng-000
455	32692306	okunyiga	lug-000	press	eng-000
457	30769651	okugula	lug-000	buy	eng-000
458	30769651	okugula	lug-000	purchase	eng-000
460	32692608	okugula	lug-000	shop	eng-000
461	30769840	okussa omukka	lug-000	breathe	eng-000
463	30769876	obutabaawo	lug-000	absent	eng-000
464	30769876	obutabaawo	lug-000	away	eng-000
465	30769876	obutabaawo	lug-000	gone	eng-000
467	30769883	akubagano	lug-000	traffic	eng-000
469	30770040	eryaato	lug-000	boat	eng-000
471	30770054	okuwerekera	lug-000	accompany	eng-000
472	30770054	okuwerekera	lug-000	escort	eng-000
473	30770054	okuwerekera	lug-000	show	eng-000
474	30770054	okuwerekera	lug-000	usher	eng-000
477	30770058	ekisaka	lug-000	bush	eng-000
478	30770058	ekisaka	lug-000	shrub	eng-000
484	30770058	ensiko	lug-000	bush	eng-000
485	30770058	ensiko	lug-000	shrub	eng-000
490	30770109	omunwe gwa sigala	lug-000	cigarette	eng-000
491	30770109	omunwe gwa sigala	lug-000	smoke	eng-000
492	30770200	eddoboozi	lug-000	voice	eng-000
497	30770229	okuvuga endiima	lug-000	speed	eng-000
498	30770229	okuvuga endiima	lug-000	velocity	eng-000
500	30770229	endiima	lug-000	speed	eng-000
501	30770229	endiima	lug-000	velocity	eng-000
503	30770241	okwutolola	lug-000	flip	eng-000
504	30770241	okwutolola	lug-000	gyrate	eng-000
505	30770241	okwutolola	lug-000	rotate	eng-000
506	30770241	okwutolola	lug-000	spin	eng-000
507	30770241	okwutolola	lug-000	turn	eng-000
509	30770285	ekiwato	lug-000	waist	eng-000
512	30770305	ejjinja	lug-000	pebble	eng-000
516	32692474	ejjinja	lug-000	rock	eng-000
519	30770310	enkuba eya kibuyaga	lug-000	tempest	eng-000
520	30770317	okufumba	lug-000	bake	eng-000
523	32690929	okufumba	lug-000	cook	eng-000
524	30770351	ekiwoomereza	lug-000	sugar	eng-000
526	30770408	ebyʼempuliziganya	lug-000	telecommunication	eng-000
527	30770408	ebyʼempuliziganya	lug-000	telecommunications	eng-000
529	30770448	ekiseera	lug-000	time	eng-000
533	30770448	ebanga	lug-000	time	eng-000
535	30770470	olugendo kugayanja	lug-000	travel	eng-000
536	32693118	olugendo kugayanja	lug-000	voyage	eng-000
537	30770527	okusiyagguka	lug-000	travel	eng-000
539	32693012	okusiyagguka	lug-000	trek	eng-000
540	30770527	okutindigga	lug-000	travel	eng-000
542	30770549	ekizimba	lug-000	neoplasm	eng-000
546	30770573	ekubo eriyita wansi	lug-000	subway	eng-000
547	30770573	ekubo eriyita wansi	lug-000	underground	eng-000
548	30770573	ekubo eriyita wansi	lug-000	underground railway	eng-000
549	30770601	ekiwonvu	lug-000	dale	eng-000
550	30770601	ekiwonvu	lug-000	valley	eng-000
552	30770601	ekikko	lug-000	dale	eng-000
553	30770601	ekikko	lug-000	valley	eng-000
555	30770620	olutambi	lug-000	video	eng-000
558	30770636	olusozi oluwanda omuliro	lug-000	volcano	eng-000
559	30770678	ekiyiriro	lug-000	waterfall	eng-000
563	30770695	okufuyisa	lug-000	make	eng-000
564	30770695	okufuyisa	lug-000	micturate	eng-000
565	30770695	okufuyisa	lug-000	pee	eng-000
566	30770695	okufuyisa	lug-000	piss	eng-000
567	30770695	okufuyisa	lug-000	tinkle	eng-000
568	30770695	okufuyisa	lug-000	urinate	eng-000
569	30770695	okufuyisa	lug-000	wee	eng-000
571	30770714	okuzitowa	lug-000	weight	eng-000
573	30770728	ekyenyanja ekisinga obunene	lug-000	whale	eng-000
574	30770735	empewo	lug-000	wind	eng-000
577	30770744	akakazi	lug-000	female	eng-000
578	30770744	akakazi	lug-000	woman	eng-000
580	30770745	omukyaala	lug-000	spouse	eng-000
581	30770745	omukyaala	lug-000	wife	eng-000
582	32691762	omukyaala	lug-000	lady	eng-000
584	30770760	ensi	lug-000	world	eng-000
588	32690947	ensi	lug-000	country	eng-000
589	32691148	ensi	lug-000	earth	eng-000
590	32691428	ensi	lug-000	globe	eng-000
591	32692245	ensi	lug-000	planet	eng-000
593	30770783	ebinnyonyi	lug-000	menagerie	eng-000
594	30770783	ebinnyonyi	lug-000	zoo	eng-000
595	30770783	ebinnyonyi	lug-000	zoological garden	eng-000
596	30770783	ebinnyonyi	lug-000	zoological park	eng-000
598	30770783	ekifo awaterekebwa ebisolo	lug-000	menagerie	eng-000
599	30770783	ekifo awaterekebwa ebisolo	lug-000	zoo	eng-000
600	30770783	ekifo awaterekebwa ebisolo	lug-000	zoological garden	eng-000
601	30770783	ekifo awaterekebwa ebisolo	lug-000	zoological park	eng-000
602	30770829	olukonko	lug-000	canon	eng-000
603	30770829	olukonko	lug-000	canyon	eng-000
606	32691396	olukonko	lug-000	gap	eng-000
607	32692389	olukonko	lug-000	ravine	eng-000
608	32693034	olukonko	lug-000	tunnel	eng-000
609	30770830	omumiro	lug-000	throat	eng-000
615	30770830	obulago	lug-000	throat	eng-000
617	30770834	omwoleso gwobukodyo	lug-000	circus	eng-000
619	30770904	ekikologo	lug-000	yoke	eng-000
621	30770920	abawuliriza	lug-000	audience	eng-000
623	30771169	akakodyo	lug-000	technique	eng-000
625	30771189	okwogera	lug-000	speak	eng-000
626	30771189	okwogera	lug-000	talk	eng-000
629	30771213	akasaanikira	lug-000	bottle cap	eng-000
631	30771306	esitoowa	lug-000	warehouse	eng-000
633	30771306	ekyaagi	lug-000	warehouse	eng-000
634	32692630	ekyaagi	lug-000	silo	eng-000
637	30771323	ennyama yʼente	lug-000	beef	eng-000
639	30771504	omugole omukazi	lug-000	bride	eng-000
641	30771504	omugole	lug-000	bride	eng-000
643	30771505	ekinene	lug-000	big	eng-000
644	30771505	ekinene	lug-000	large	eng-000
646	32691470	ekinene	lug-000	great	eng-000
647	32691598	ekinene	lug-000	huge	eng-000
649	30771510	omuwanvu	lug-000	tall	eng-000
651	30771620	olusiringanyi	lug-000	worm	eng-000
653	30771651	omwaaka	lug-000	solar year	eng-000
654	30771651	omwaaka	lug-000	year	eng-000
656	30771680	ekibuguma	lug-000	hot	eng-000
657	32693134	ekibuguma	lug-000	warm	eng-000
658	30771715	ekituufu	lug-000	so	eng-000
659	30771715	ekituufu	lug-000	true	eng-000
660	32690386	ekituufu	lug-000	actual	eng-000
661	32691237	ekituufu	lug-000	fact	eng-000
662	32692395	ekituufu	lug-000	real	eng-000
664	30771727	aaa	lug-000	nay	eng-000
665	30771727	aaa	lug-000	no	eng-000
666	30771727	aaa	lug-000	nope	eng-000
667	30771739	ekigazi	lug-000	broad	eng-000
668	30771739	ekigazi	lug-000	spacious	eng-000
669	30771739	ekigazi	lug-000	wide	eng-000
671	30771748	ekirala	lug-000	another	eng-000
673	30771785	olubuto	lug-000	abdomen	eng-000
674	30771785	olubuto	lug-000	belly	eng-000
676	30771785	olubuto	lug-000	venter	eng-000
682	32692297	olubuto	lug-000	pregnancy	eng-000
684	30771809	ekiwawatiro	lug-000	wing	eng-000
686	30771816	enjaga yʼebiragala	lug-000	cocaine	eng-000
688	30771914	ekindaazi	lug-000	cake	eng-000
690	30771964	omugole omusajja	lug-000	bridegroom	eng-000
691	30771964	omugole omusajja	lug-000	groom	eng-000
693	30772003	ekitone	lug-000	endowment	eng-000
694	30772003	ekitone	lug-000	gift	eng-000
696	32692871	ekitone	lug-000	talent	eng-000
697	30772027	okusesema	lug-000	Ralph	eng-000
698	30772027	okusesema	lug-000	barf	eng-000
699	30772027	okusesema	lug-000	chuck	eng-000
700	30772027	okusesema	lug-000	chunder	eng-000
701	30772027	okusesema	lug-000	disgorge	eng-000
702	30772027	okusesema	lug-000	hurl	eng-000
703	30772027	okusesema	lug-000	puke	eng-000
704	30772027	okusesema	lug-000	regurgitate	eng-000
705	30772027	okusesema	lug-000	retch	eng-000
706	30772027	okusesema	lug-000	throw up	eng-000
707	30772027	okusesema	lug-000	toss one’s cookies	eng-000
708	30772027	okusesema	lug-000	upchuck	eng-000
709	30772027	okusesema	lug-000	vomit	eng-000
710	30772027	okusesema	lug-000	yak	eng-000
714	30772057	enjala z’ebisolo	lug-000	claw	eng-000
716	30772063	okusawuka	lug-000	throw	eng-000
721	30772063	okukasuka	lug-000	throw	eng-000
722	32691609	okukasuka	lug-000	hurl	eng-000
723	32692664	okukasuka	lug-000	sling	eng-000
725	30772063	okukanyuga	lug-000	throw	eng-000
727	32691609	okukanyuga	lug-000	hurl	eng-000
729	30772091	okujjako	lug-000	beside	eng-000
730	30772091	okujjako	lug-000	by	eng-000
731	30772091	okujjako	lug-000	next to	eng-000
733	30772092	okubawo	lug-000	about	eng-000
734	30772092	okubawo	lug-000	around	eng-000
736	30772121	emabega	lug-000	after	eng-000
737	30772121	emabega	lug-000	behind	eng-000
738	32690500	emabega	lug-000	back	eng-000
740	32692396	emabega	lug-000	rear	eng-000
741	30772126	ekibi	lug-000	bad	eng-000
743	32691208	ekibi	lug-000	evil	eng-000
744	30772131	ekkifu	lug-000	erroneous	eng-000
745	30772131	ekkifu	lug-000	wrong	eng-000
747	30772139	ekinabilo	lug-000	bath	eng-000
748	30772139	ekinabilo	lug-000	bathing tub	eng-000
749	30772139	ekinabilo	lug-000	bathtub	eng-000
750	30772139	ekinabilo	lug-000	tub	eng-000
752	30772139	ogubaafu	lug-000	bath	eng-000
753	30772139	ogubaafu	lug-000	bathing tub	eng-000
754	30772139	ogubaafu	lug-000	bathtub	eng-000
755	30772139	ogubaafu	lug-000	tub	eng-000
757	30772146	ekinaabiro	lug-000	bath	eng-000
758	30772146	ekinaabiro	lug-000	bathroom	eng-000
761	30772256	okusaba	lug-000	ask	eng-000
764	32690454	okusaba	lug-000	appeal	eng-000
766	32692292	okusaba	lug-000	pray	eng-000
767	32692293	okusaba	lug-000	prayer	eng-000
768	30772256	okubuuza	lug-000	ask	eng-000
771	30772346	okuwooyawooya	lug-000	assuage	eng-000
772	30772346	okuwooyawooya	lug-000	pacify	eng-000
773	30772346	okuwooyawooya	lug-000	soothe	eng-000
775	30772383	ekibisi	lug-000	soaked	eng-000
776	30772383	ekibisi	lug-000	wet	eng-000
777	32692390	ekibisi	lug-000	raw	eng-000
779	30772383	okutobya	lug-000	soaked	eng-000
780	30772383	okutobya	lug-000	wet	eng-000
782	30772383	okubisiwaza	lug-000	soaked	eng-000
783	30772383	okubisiwaza	lug-000	wet	eng-000
785	30772419	ecupa	lug-000	bottle	eng-000
787	30772427	ekisenge ekisulwaamu	lug-000	bedchamber	eng-000
788	30772427	ekisenge ekisulwaamu	lug-000	bedroom	eng-000
789	30772427	ekisenge ekisulwaamu	lug-000	chamber	eng-000
790	30772427	ekisenge ekisulwaamu	lug-000	sleeping room	eng-000
792	30772450	ebyobuggagga	lug-000	jewel	eng-000
793	30772450	ebyobuggagga	lug-000	treasure	eng-000
795	30772514	ekyeeru	lug-000	white	eng-000
797	30772555	ebiseera by’ebugumu	lug-000	summer	eng-000
799	30772557	omusana	lug-000	Sun	eng-000
800	30772557	omusana	lug-000	sun	eng-000
803	32692245	emunyeenye	lug-000	planet	eng-000
805	30772619	okwabuluza	lug-000	divide	eng-000
806	30772619	okwabuluza	lug-000	separate	eng-000
807	30772619	okwabuluza	lug-000	split	eng-000
808	30772619	okwabuluza	lug-000	split up	eng-000
810	30772642	okuzaala	lug-000	birth	eng-000
811	30772642	okuzaala	lug-000	childbirth	eng-000
812	30772642	okuzaala	lug-000	parturition	eng-000
821	32691028	okuzaala	lug-000	deliver	eng-000
822	30772667	omuwereeza	lug-000	waiter	eng-000
824	30772667	omusumaami	lug-000	waiter	eng-000
826	30772668	omuwuulu	lug-000	bachelor	eng-000
828	30772670	amazaribwa	lug-000	birthday	eng-000
830	30772678	omugati	lug-000	bread	eng-000
832	32691826	omugati	lug-000	loaf	eng-000
833	30772699	akayu	lug-000	can	eng-000
834	30772699	akayu	lug-000	lavatory	eng-000
835	30772699	akayu	lug-000	loo	eng-000
836	30772699	akayu	lug-000	toilet	eng-000
838	30772699	awakyaamirwa	lug-000	can	eng-000
839	30772699	awakyaamirwa	lug-000	lavatory	eng-000
840	30772699	awakyaamirwa	lug-000	loo	eng-000
841	30772699	awakyaamirwa	lug-000	toilet	eng-000
843	30772712	eyeggulo	lug-000	dinner	eng-000
844	30772712	eyeggulo	lug-000	evening meal	eng-000
845	30772712	eyeggulo	lug-000	supper	eng-000
846	30772712	eyeggulo	lug-000	tea	eng-000
852	30772746	omukisa	lug-000	chance	eng-000
853	30772746	omukisa	lug-000	opportunity	eng-000
854	30772746	omukisa	lug-000	possibility	eng-000
856	32691354	omukisa	lug-000	fortune	eng-000
857	32691849	omukisa	lug-000	luck	eng-000
859	30772761	ekiselakyona	lug-000	always	eng-000
861	30772761	ekiselakyona	lug-000	continually	eng-000
862	30772761	ekiselakyona	lug-000	perpetually	eng-000
864	30772774	ekijiiko	lug-000	spoon	eng-000
866	30772776	essimu	lug-000	phone	eng-000
867	30772776	essimu	lug-000	telephone	eng-000
868	32690723	essimu	lug-000	call	eng-000
875	30772798	akasimu	lug-000	cell phone	eng-000
877	30772798	akasimu	lug-000	mobile telephone	eng-000
882	32692026	akasimu	lug-000	nerve	eng-000
883	30772822	okukogga	lug-000	thin	eng-000
885	30772824	akagere	lug-000	toe	eng-000
888	30772851	eggumba	lug-000	bone	eng-000
894	30772939	okwefananyiriza	lug-000	belong	eng-000
896	30773013	okulowooza	lug-000	contemplate	eng-000
897	30773013	okulowooza	lug-000	ponder	eng-000
898	30773013	okulowooza	lug-000	reflect	eng-000
899	30773013	okulowooza	lug-000	think	eng-000
901	30773047	okunuuma	lug-000	suck	eng-000
903	30773056	okukaayana	lug-000	argue	eng-000
904	30773056	okukaayana	lug-000	fight	eng-000
905	30773056	okukaayana	lug-000	quarrel	eng-000
907	30773056	okuwakana	lug-000	argue	eng-000
908	30773056	okuwakana	lug-000	fight	eng-000
909	30773056	okuwakana	lug-000	quarrel	eng-000
911	30773056	okujojolikana	lug-000	argue	eng-000
912	30773056	okujojolikana	lug-000	fight	eng-000
913	30773056	okujojolikana	lug-000	quarrel	eng-000
915	32690904	okujojolikana	lug-000	conflict	eng-000
917	30773094	okujja	lug-000	burn	eng-000
920	32690880	okujja	lug-000	come	eng-000
921	30773094	okwokya	lug-000	burn	eng-000
926	32691912	okwokya	lug-000	melt	eng-000
927	30773161	okuwuga	lug-000	swim	eng-000
933	30773183	okufuuka	lug-000	become	eng-000
934	30773183	okufuuka	lug-000	turn	eng-000
